year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,sellingprice,saledate
2014,Kia,Optima,LX,Sedan,automatic,5xxgm4a77eg347952,wi,48.0,14866.0,silver,beige,kia motors america  inc,14500.0,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
2013,Ford,Escape,SEL,SUV,automatic,1fmcu0hx8dud67368,il,35.0,18328.0,silver,black,ford motor credit company llc,18600.0,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
2005,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7hu18nx5s144136,mn,24.0,156848.0,silver,black,walser chrysler jeep dodge,5500.0,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap8dc189077,tx,41.0,21834.0,white,black,nissan-infiniti lt,15400.0,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2012,Ford,F-150,SVT Raptor,SuperCrew,automatic,1ftfw1r66cfa23810,oh,46.0,81385.0,white,gray,humberview chevrolet,33500.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2007,Ford,Explorer Sport Trac,Limited,Crew Cab,automatic,1fmeu53867ub45583,tx,36.0,107901.0,beige,tan,music city autoplex llc,13500.0,Wed Feb 11 2015 02:20:00 GMT-0800 (PST)
2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae6du538525,ca,36.0,38454.0,gray,gray,enterprise vehicle exchange/orange,9900.0,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
2014,Infiniti,QX60,Base,SUV,automatic,5n1al0mn0ec550902,ca,49.0,5479.0,silver,black,nissan infiniti lt,37000.0,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2007,Saturn,Aura,XE,Sedan,automatic,1g8zs57n77f174424,tx,29.0,145188.0,beige,—,first light fcu,1800.0,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
2013,Mazda,CX-9,Touring,SUV,automatic,jm3tb2cv5d0410848,tx,38.0,42864.0,gray,black,avis corporation,19400.0,Wed Jan 21 2015 02:15:00 GMT-0800 (PST)
2008,Volvo,XC90,3.2 Special Edition,SUV,automatic,yv4cz982081451879,pa,31.0,106557.0,white,tan,manheim imports,8900.0,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
2009,Honda,Odyssey,Touring,Minivan,automatic,5fnrl388x9b030695,ma,26.0,62326.0,black,tan,boch new to you superstore,14700.0,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
2011,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ef4bfb22601,mi,28.0,136501.0,silver,gray,ford motor credit company llc,12900.0,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
2012,Nissan,Altima,2.5,Sedan,automatic,1n4al2ap1cc143082,il,4.0,36539.0,silver,black,nissan-infiniti lt,13600.0,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2013,Chevrolet,Sonic,LT,Sedan,automatic,1g1jc5sh0d4113790,fl,4.0,46300.0,silver,black,integrity automotive inc,9000.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2009,GMC,Yukon XL,Denali,SUV,automatic,1gkfc06209j125294,fl,37.0,116556.0,white,tan,daytona toyota,17200.0,Wed Feb 25 2015 07:00:00 GMT-0800 (PST)
2014,Ford,Taurus,SEL,Sedan,automatic,1fahp2e83eg144106,mo,39.0,12956.0,green,black,ford motor credit company,17000.0,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
2006,Ford,Explorer,XLS,SUV,automatic,1fmeu62e76ua07742,ca,36.0,83505.0,black,beige,jimmie johnson kearny mesa chevrolet,5200.0,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
2014,Ford,Fusion Hybrid,Titanium,Sedan,automatic,3fa6p0ru8er262129,tn,44.0,20540.0,white,black,avis budget group,21300.0,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2013,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k95dr223017,mo,43.0,32165.0,gray,black,avis budget group,27200.0,Tue Jan 06 2015 03:00:00 GMT-0800 (PST)
2011,Toyota,4Runner,SR5,SUV,automatic,jtezu5jr7b5015456,fl,37.0,115081.0,silver,gray,dab auto world & leasing,19200.0,Tue Jan 13 2015 16:00:00 GMT-0800 (PST)
2014,Ford,Escape,Titanium,SUV,automatic,1fmcu9j96eua47287,tx,45.0,41008.0,—,black,avis budget group,22200.0,Thu Jan 08 2015 10:30:00 GMT-0800 (PST)
2008,MINI,Cooper,S,Hatchback,automatic,wmwmf73548tv38045,ca,35.0,75393.0,gray,black,american road leasing inc,8100.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2004,Ford,Expedition,Eddie Bauer,SUV,,1fmru17w74la13579,nc,19.0,206337.0,black,beige,sharonview fcu,2100.0,Mon Jun 29 2015 17:15:00 GMT-0700 (PDT)
2014,GMC,Savana Cargo,2500,van,automatic,1gtw7fca4e1912693,tx,41.0,8591.0,white,gray,u-haul international,19400.0,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg5er318658,fl,4.0,29159.0,gray,black,pv holding inc/gdp,17700.0,Mon Feb 02 2015 04:30:00 GMT-0800 (PST)
2010,Chevrolet,Equinox,LS,SUV,,2cnflcew7a6309078,pa,33.0,59555.0,silver,gray,melvin g rhoades auto sales llc,12900.0,Fri Feb 20 2015 09:30:00 GMT-0800 (PST)
2006,Pontiac,G6,GT,Sedan,automatic,1g2zh558564229436,wi,19.0,128064.0,gray,black,dt credit corporation,1900.0,Wed Dec 31 2014 10:00:00 GMT-0800 (PST)
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac7dh764243,oh,46.0,42610.0,blue,gray,avis corporation,11900.0,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap3cc245922,nj,36.0,25436.0,black,black,nissan-infiniti lt,11200.0,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
2014,Chevrolet,Tahoe,LTZ,SUV,automatic,1gnskce02er173011,pa,42.0,46121.0,silver,black,avis corporation,38000.0,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2013,Honda,Insight,Base,Hatchback,automatic,jhmze2h33ds004748,ca,36.0,40235.0,blue,gray,avis corporation,11200.0,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
2010,Dodge,Journey,SXT,suv,automatic,3d4pg5fvxat242277,nc,33.0,74940.0,black,black,hendrick honda easley,9200.0,Wed Jun 10 2015 07:00:00 GMT-0700 (PDT)
2009,Nissan,Murano,LE,SUV,automatic,jn8az18w29w108269,pa,27.0,100277.0,black,black,faulkner buick gmc,8800.0,Mon Jan 19 2015 04:00:00 GMT-0800 (PST)
2011,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fe5bm952088,hi,45.0,29382.0,gray,gray,nissan infiniti lt,22250.0,Wed Jan 07 2015 14:35:00 GMT-0800 (PST)
2009,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcek23359g266110,nj,24.0,104404.0,black,black,lilliston enterprises inc,11000.0,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,,5npdh4ae0dh243067,ga,42.0,24540.0,burgundy,beige,kia motors finance,12300.0,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2013,Volkswagen,Jetta SportWagen,TDI,wagon,automatic,3vwpl7aj4dm610313,fl,1.0,32204.0,white,beige,wells fargo dealer services,6000.0,Wed May 27 2015 01:30:00 GMT-0700 (PDT)
2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap6dn549662,pa,34.0,55419.0,gray,black,the hertz corporation,10700.0,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2014,Ford,Edge,Limited,SUV,automatic,2fmdk3kcxeba34971,fl,48.0,27270.0,—,brown,avis budget group,24200.0,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2012,Chevrolet,Malibu,LS,Sedan,automatic,1g1zb5e02cf228602,mi,46.0,40407.0,silver,gray,gm financial leasing,9800.0,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
2004,Nissan,Xterra,SE S/C,SUV,automatic,5n1md28yx4c626800,pa,25.0,72658.0,—,black,r hollenshead auto sales inc,5600.0,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
2007,Pontiac,G6,GT,Sedan,automatic,1g2zh57n474152630,tn,32.0,154221.0,red,black,dt credit corporation,3600.0,Tue Feb 03 2015 02:30:00 GMT-0800 (PST)
2001,Chevrolet,Malibu,LS,Sedan,automatic,1g1ne52j116158896,oh,19.0,169658.0,gold,tan,cnac corporate office/columbus,800.0,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
2012,Cadillac,SRX,Luxury,SUV,automatic,3gyfnae38cs503738,fl,32.0,30005.0,silver,gray,gm financial leasing,22800.0,Thu Jan 15 2015 01:40:00 GMT-0800 (PST)
2008,Nissan,Rogue,S,SUV,automatic,jn8as58t68w019756,ga,26.0,170950.0,burgundy,gray,santander consumer,4400.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2006,Maserati,Quattroporte,Base,Sedan,automatic,zamce39a460025306,ca,29.0,92655.0,silver,black,newport coast auto com,15500.0,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
2014,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1ef3efb48675,tn,5.0,13615.0,red,gray,ford-lincoln dealer program,36500.0,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
2013,Lexus,CT 200h,Base,hatchback,automatic,jthkd5bh3d2126262,fl,47.0,14185.0,silver,beige,lexus financial services,19200.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2011,BMW,1 Series,128i,convertible,,wbaun1c56bvh82357,pa,36.0,34620.0,white,gray,r hollenshead auto sales inc,20500.0,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2008,Kia,Sedona,LX,Minivan,automatic,kndmb233286221993,ga,25.0,150933.0,gold,beige,hertz remarketing,2500.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cc104537,fl,36.0,19911.0,gold,beige,nissan-infiniti lt,13200.0,Thu May 21 2015 02:15:00 GMT-0700 (PDT)
2014,Ford,Fusion,SE,sedan,,1fa6p0h76e5405691,pa,27.0,26212.0,red,black,avis budget group,11900.0,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2014,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk1eu400103,fl,38.0,11016.0,gray,gray,toyota motor sales usa inc/program,15200.0,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2009,Chrysler,Sebring,LX,Sedan,automatic,1c3lc46b79n558940,ga,39.0,116473.0,white,black,wells fargo dealer services,2900.0,Tue Dec 30 2014 13:00:00 GMT-0800 (PST)
2014,Dodge,Durango,Limited,SUV,automatic,1c4rdjdg0ec370430,il,4.0,13789.0,red,black,chrysler group llc,34100.0,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
2012,Cadillac,SRX,Luxury,SUV,,3gyfnde30cs543510,pa,46.0,55032.0,red,beige,gm financial leasing,19600.0,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
2002,Chevrolet,Cavalier,LS,Sedan,automatic,1g1jf524527354812,wi,19.0,146630.0,blue,gray,credit acceptance corp/vrs/southfield,550.0,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2013,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab4dn753503,mo,32.0,30784.0,blue,black,td auto finance,9600.0,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
2013,Ford,F-150,XLT,SuperCrew,automatic,1ftew1cm6dfa47187,ca,42.0,18612.0,black,black,ford motor credit company llc pd,23900.0,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
2013,Land Rover,Range Rover Sport,Luxury,SUV,,salsk2d41da793751,ga,39.0,28535.0,white,black,jpmorgan chase bank n.a.,48000.0,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2007,Chevrolet,Silverado 2500HD Classic,LT3,Crew Cab,automatic,1gchk23d37f103797,ca,38.0,155562.0,black,tan,m and m enterprises,14500.0,Thu Feb 19 2015 12:00:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap8dc918842,tn,35.0,14448.0,—,black,nissan-infiniti lt,13600.0,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
2012,Mazda,Mazda6,s Grand Touring,Sedan,automatic,1yvhz8cb4c5m01797,nc,37.0,33368.0,black,tan,primeritus remarketing/coastal fcu,15000.0,Mon Dec 22 2014 00:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae1dh349608,mn,37.0,36191.0,gray,gray,avis corporation,11200.0,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjmak7cw142236,tx,45.0,60758.0,silver,black,the hertz corporation,13500.0,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
2011,Honda,Civic,LX,Sedan,automatic,2hgfa1f5xbh304307,ga,35.0,44740.0,black,gray,ahfc/honda lease trust/hvt  inc. eot,10700.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2004,,,,,manual,jn1az34d04t152506,fl,45.0,78818.0,silver,black,d&a fine cars,8600.0,Fri Jan 23 2015 01:25:00 GMT-0800 (PST)
2003,GMC,Yukon,Denali,SUV,automatic,1gkek63u43j287217,oh,1.0,1.0,burgundy,gray,liquidation llc,2000.0,Thu Feb 05 2015 01:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra,Limited,Sedan,,kmhdh4ae3du696147,nj,31.0,14906.0,blue,gray,hyundai motor finance,14100.0,Wed Apr 15 2015 02:30:00 GMT-0700 (PDT)
2014,Nissan,Altima,2.5,sedan,automatic,1n4al3ap5en254408,mi,44.0,65681.0,black,beige,ge fleet services for itself/servicer,12000.0,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
2010,Ford,F-150,XLT,supercab,automatic,1ftex1c84ake75424,tx,35.0,94579.0,blue,gray,tdaf remarketing,13400.0,Wed Jun 03 2015 03:15:00 GMT-0700 (PDT)
2014,BMW,M5,Base,Sedan,automatic,wbsfv9c51ed593139,ca,43.0,11098.0,white,black,the hertz corporation,73100.0,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
2013,Chevrolet,Malibu,LT,Sedan,automatic,1g11c5sa5du146903,ca,2.0,38090.0,blue,black,fox rent a car tra,8000.0,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
2011,Toyota,Camry,LE,Sedan,automatic,4t1bf3ek2bu697018,md,24.0,93197.0,black,gray,capital one auto finance,8500.0,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2010,Chrysler,Town and Country,Touring,Minivan,automatic,2a4rr5d12ar414279,tx,31.0,112425.0,white,gray,jpmorgan chase bank n.a.,6500.0,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
2003,Ford,Econoline Cargo,E-350 Super Duty,Van,automatic,1ftse34l03hb24131,mn,25.0,205755.0,white,gray,ari,1800.0,Thu Feb 19 2015 02:45:00 GMT-0800 (PST)
2014,Buick,LaCrosse,Leather Group,Sedan,automatic,1g4gb5g30ef251462,il,3.0,22825.0,black,brown,gm remarketing,21900.0,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
2012,Mazda,Mazda6,i Sport,Sedan,automatic,1yvhz8bh5c5m05184,ca,31.0,49626.0,black,black,jpmorgan chase bank n.a.,10750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpcrec7eg462183,fl,39.0,14708.0,silver,black,enterprise veh exchange/rental,26000.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2007,Toyota,Camry,LE,Sedan,automatic,4t1be46k17u548842,oh,25.0,110197.0,blue,gray,santander consumer,7300.0,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
2006,Volkswagen,Jetta,2.5,sedan,automatic,3vwrf81k06m675323,fl,26.0,116300.0,white,tan,courtesy hyundai,3000.0,Thu Jun 18 2015 09:20:00 GMT-0700 (PDT)
2012,Ford,F-250 Super Duty,XLT,crew cab,automatic,1ft7w2bt4cec02931,ms,4.0,67309.0,white,gray,gm financial,32250.0,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
2012,Ford,Focus,SE,Sedan,automatic,1fahp3f22cl262765,ca,43.0,61976.0,white,beige,ford motor credit company llc pd,7900.0,Thu May 28 2015 05:30:00 GMT-0700 (PDT)
2013,BMW,1 Series,128i SULEV,convertible,automatic,wbaun1c5xdvr00782,ca,42.0,12614.0,black,beige,newport coast auto com,25800.0,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
2014,MINI,Cooper Paceman,S ALL4,Hatchback,,wmwss7c51ews44454,pa,5.0,2281.0,red,black,r hollenshead auto sales inc,23750.0,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
2013,Jeep,Wrangler,Rubicon,suv,manual,1c4bjwcg1dl666029,pa,48.0,13097.0,green,black,adcock brothers inc,29250.0,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2013,Chrysler,300,S,Sedan,automatic,2c3ccabt8dh644188,mi,35.0,24699.0,black,black,chrysler capital,21200.0,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
2011,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4de2bu117153,fl,35.0,78453.0,white,brown,coconut creek auto mall,13500.0,Thu Feb 19 2015 02:40:00 GMT-0800 (PST)
2011,Nissan,Maxima,3.5 SV,sedan,automatic,1n4aa5ap3bc867829,va,26.0,91097.0,white,tan,wells fargo dealer services,11400.0,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7dm726114,nv,47.0,11060.0,white,black,york dodge chrysler jeep ram,24250.0,Fri Feb 06 2015 04:00:00 GMT-0800 (PST)
2007,Dodge,Charger,Base,Sedan,automatic,2b3ka43g97h714710,fl,23.0,110891.0,blue,silver,innovate loan servicing corp,7100.0,Thu Jan 15 2015 07:00:00 GMT-0800 (PST)
2011,Cadillac,CTS,Base,Sedan,,1g6da5ey2b0108975,pa,36.0,30695.0,black,black,fiserv/usb dealer services northstar exchange,17000.0,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
2003,GMC,Yukon,SLE,SUV,automatic,1gkek13z53r172898,oh,19.0,260689.0,black,gray,aex credit services,1300.0,Thu Feb 12 2015 01:00:00 GMT-0800 (PST)
2013,Mercedes-Benz,E-Class,E350 Sport,sedan,automatic,wddhf5kb1da720913,fl,39.0,54578.0,white,black,mercedes-benz finc wholesale advantage,25500.0,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
2012,Scion,iQ,Base,Hatchback,automatic,jtnjjxb05cj009035,ca,47.0,23952.0,silver,black,toyota financial services,10100.0,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,E-Class,E350 Sport,sedan,automatic,wddhf5kb7da723637,ca,38.0,15909.0,silver,black,mercedes-benz finc wholesale advantage,29750.0,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2011,Nissan,Altima,2.5,Sedan,automatic,1n4al2ap2bc148645,fl,36.0,84073.0,burgundy,beige,regional acceptance corporation / greenville,9600.0,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
2009,Toyota,Yaris,S,Sedan,automatic,jtdbt903091302085,fl,21.0,54847.0,black,gray,world omni/santander,6400.0,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2005,HUMMER,H2,Base,SUV,automatic,5grgn23u45h118327,ca,43.0,67149.0,gray,black,phillips auto brokerage,18500.0,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
2013,Dodge,Avenger,SXT,Sedan,automatic,1c3cdzcb0dn590314,co,45.0,41069.0,blue,black,avis corporation,11200.0,Wed Feb 11 2015 03:45:00 GMT-0800 (PST)
2009,Ford,F-150,XLT,SuperCab,automatic,1ftpx14v69kb36043,ca,29.0,107128.0,white,tan,wheels exchange llc,13500.0,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
2002,Buick,Park Avenue,Base,Sedan,automatic,1g4cw54k824130409,nc,1.0,149609.0,gold,beige,remarketing by ge/gaia llc,800.0,Mon May 25 2015 02:00:00 GMT-0700 (PDT)
2007,Saturn,ION,2,Sedan,automatic,1g8aj55f37z105420,tx,,161882.0,green,brown,desert sun motors inc,1500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2000,Mitsubishi,Mirage,DE,sedan,manual,ja3ay26c5yu012383,fl,19.0,215201.0,red,—,coggin honda of ft pierce,300.0,Thu Jun 11 2015 09:50:00 GMT-0700 (PDT)
2012,Toyota,Camry,SE,sedan,automatic,4t1bf1fk8cu160853,fl,22.0,26009.0,silver,black,world omni financial corporation,12300.0,Wed Jun 17 2015 02:10:00 GMT-0700 (PDT)
2013,Chevrolet,Suburban,LT 1500,SUV,automatic,1gnscje0xdr285782,tx,36.0,45186.0,brown,tan,avis corporation,26900.0,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
